id,name,address,description,latitud,longitud,amenities
Mykland,Joker Mykland,Evjeveien 840,,58.632196,8.290956,"['RESTROOM', 'SHOPPING']"
Sinnes,Joker Sinnes,Sirdalsveien 7113,,58.907279,6.854391,"['RESTROOM', 'SHOPPING']"
B8GQAPRSW9QTC,Joker Viksdalen,Gaularfjellsvegen 1110,,61.349298,6.118605,"['RESTROOM', 'REST_STOP', 'SHOPPING', 'CAR_TRAILER']"
vinje,"Joker Vossestrand, Vinje",Myrkdalsvegen 9,,60.792997,6.509224,"['SHOPPING', 'TRUCK', 'CAR_TRAILER']"
B9I2YUTF1K7I8,Jokkmokk,Berggatan 6,ICA Supermarket Jokkmokk,66.60681,19.82911,"['RESTROOM', 'REST_STOP', 'SHOPPING', 'CAR_TRAILER']"
B9K2WH4IE75Z4,Jämjö,Västra Riksvägen 15,ICA Supermarket Jämjö,56.191435,15.8338,[]
BA0UDKGCXOKQO,Karensmindevej,Karensmindevej,,55.712499,11.717372,[]
BA8D8AV07O0LC,Karlskrona Amiralen lilla,Verkövägen 5,Lidl,56.19769,15.643926,['RESTROOM']
BA8GH0WLUKJ5S,Karlskrona Amiralen stora,Verkövägen 5,,56.195784,15.641493,"['RESTROOM', 'CAFE', 'CAR_TRAILER']"
BA0C2LKCNEG3K,Kaufbeuren,Sudetenstraße 8,,47.899127,10.643089,"['RESTROOM', 'RESTAURANT', 'SHOPPING', 'BAR', 'CAFE']"
Kilden,Kilden Senter,Gartnerveien 15,,58.948424,5.740253,"['RESTROOM', 'RESTAURANT', 'SHOPPING', 'CAFE']"
Kinsarvik,Kinsarvik,Kinsarvikvegen 1,Ved Esso stasjonen,60.374234,6.714587,"['RESTROOM', 'CAFE']"
Kristiansund KT,"Kirketomta, Kristiansund",Kong Olav V's gate,,63.111784,7.726436,[]
B8HWTM2KDFWN4,Kiruna,Österleden 2,ICA Kvantum Kiruna,67.848097,20.254786,"['RESTROOM', 'SHOPPING', 'CAFE']"
B8R4GGFH2RVUO,Kista Galleria,Hanstavägen 55 F,Garageplan -2 Fri parkering 2 timmar per dag!,59.402541,17.946706,"['RESTROOM', 'RESTAURANT', 'ACCOMMODATION', 'SHOPPING', 'BAR', 'WIFI', 'CAFE']"
B9Z8YS6NUNTOG,Kiwi Orkanger,Orkdalsveien 100,,63.298638,9.849046,"['RESTROOM', 'RESTAURANT', 'SHOPPING']"
B9O4VN7J8ETC0,Kiwi Sorgenfri Allé,Sorgenfri Allé 2,,59.22257,10.99211,['SHOPPING']
B9S0AZM5NA1A8,Kjøpsvik,F. L. Smiths vei,,68.098343,16.376196,"['SHOPPING', 'TRUCK', 'CAR_TRAILER']"
Kleppestø,Kleppestø,Holmedalen 6A,,60.406052,5.220696,['SHOPPING']
Knarvik,Knarvik,Kvernhushaugane 1,,60.54695,5.28454,"['RESTROOM', 'SHOPPING', 'CAFE']"
Knarvikp,Knarvik Senter,Kvernhushaugane 10,,60.547028,5.285227,"['RESTROOM', 'RESTAURANT', 'SHOPPING', 'CAFE']"
Kolbotn Torg,Kolbotn Torg,Strandliveien 4,,59.810124,10.797906,"['RESTROOM', 'RESTAURANT', 'SHOPPING', 'CAFE']"
BAR3AFGCJX62O,"Kolkaia, Florø",Kolkaia,"- Verdens første lynlader til båt
- Verdens første lynlader for båt og bil
- Norges første hurtiglader til båt",61.60042,5.032688,"['RESTAURANT', 'SHOPPING', 'CAFE']"
Kristiansund KP,"Kongens Plass, Kristiansund",Kongens Plass 1,,63.110389,7.728688,"['RESTROOM', 'RESTAURANT', 'SHOPPING', 'CAFE']"
B8OY5OKW807WG,"Kongssenteret, Kongsvinger",Brugata 12,KS1 og KS2 er på framsiden av senteret ved inngangen til Kiwi.,60.192025,11.995373,"['RESTROOM', 'RESTAURANT', 'SHOPPING', 'WIFI', 'CAFE']"
Alti-Koppang,Koppang Senteret,Storgata 99,,61.570031,11.050125,"['RESTROOM', 'SHOPPING', 'CAFE']"
BAJGNE6YYXKHS,Kristianstad,Sjöcronas gata 7,,56.025216,14.170731,"['RESTROOM', 'RESTAURANT', 'CAFE']"
B9I3LBI268FSW,Kristinehovsgatan - Stockholm,Kristinehovsgatan 93,,59.31753,18.042475,[]
BASEK2WQ5Q6F4,Kronen,Vanløse Torv 1,Vær opmærksom på at registrere din parkering jf skiltning på stedet.,55.687733,12.493978,"['RESTROOM', 'RESTAURANT', 'SHOPPING', 'BAR', 'WIFI', 'CAFE']"
Umeå,Kronoparken - Umeå,Kronoskogsvägen 18,McDonalds Kronoparken ,63.840158,20.194534,"['RESTROOM', 'RESTAURANT', 'SHOPPING', 'CAFE']"
BAB59WHV88EM8,Kuben Senter Hønefoss,Kong Rings gate 1,,60.164753,10.254655,"['RESTROOM', 'RESTAURANT', 'ACCOMMODATION', 'SHOPPING', 'BAR', 'WIFI', 'CAFE']"
Kuben,"Kuben Senter, Bremnes",Hollundsdalen 2,,59.79858,5.210102,"['RESTROOM', 'RESTAURANT', 'SHOPPING']"
B84JJTSMKTVCW,Kungens Kurva - Stockholm,Tangentvägen 4,ICA Kvantum Kungens Kurva,59.269931,17.921761,"['RESTROOM', 'REST_STOP', 'RESTAURANT', 'SHOPPING', 'WIFI', 'CAFE']"
B9OTM3OW1UA68,Kungsbacka,Hedebrovägen 50,ICA Maxi Kungsbacka,57.516123,12.076231,[]
Favang,"Kvitfjelltunet, Fåvang",Stasjonsvegen 9,,61.453942,10.189424,"['RESTROOM', 'RESTAURANT', 'SHOPPING', 'CAFE', 'CAR_TRAILER']"
B8WZ6B8OEST1C,Kyrkjebygd,Gardsvegen 9,,58.616418,7.419574,[]
B9Y5P9JG63H8G,Kyrkvägen - Lidingö,Kyrkvägen 56,,59.36979,18.154935,[]
B84J1NUHXVU9S,Lahtis,Kaunisjoensuu 4,ICA Nära Lahtis,67.313482,23.742483,"['RESTROOM', 'SHOPPING', 'TRUCK', 'CAR_TRAILER']"
B9VKRRUDE1NNK,Lakselv,Rådhusveien 1,,70.051456,24.956361,"['RESTROOM', 'RESTAURANT', 'ACCOMMODATION', 'SHOPPING', 'TRUCK', 'CAFE', 'CAR_TRAILER']"
Laksevåg Senter,Laksevåg Senter,Kringsjåveien 83,,60.389339,5.28645,"['RESTROOM', 'SHOPPING', 'CAFE']"
B7V7EH1UNDYPS,Langrønningen Næringspark,Langrønningen 4,,58.971778,9.52177,[]
BACF3OXP7KB28,Laxå,Centrumtorget 21,Laxå Centrum Östra Parkering,58.985555,14.620986,"['RESTROOM', 'RESTAURANT', 'SHOPPING', 'CAFE']"
BAKUTDZYE5HXC,Leikanger,Riverdalen 5,,61.183189,6.852926,"['RESTROOM', 'SHOPPING', 'CAFE']"
B8D1UCFPQKJY8,Leinesfjord,Hesteskoen,,67.77662,15.018676,"['RESTROOM', 'RESTAURANT', 'SHOPPING', 'TRUCK', 'CAFE', 'CAR_TRAILER']"
Leivik_Sogn,Leirvik i Sogn,Leirvik 67,,61.136711,5.347083,"['RESTROOM', 'SHOPPING', 'CAFE']"
BACF3MI5F6KG0,Leksand,Limsjöänget 9,ICA Supermarket Leksand,60.737521,15.003044,"['RESTROOM', 'REST_STOP', 'SHOPPING', 'CAFE']"
B8Z9BSR3E95VK,Lidköping,Floragatan 8,ICA Supermarket Margretelund,58.495435,13.169532,"['RESTROOM', 'RESTAURANT', 'SHOPPING', 'CAFE', 'CAR_TRAILER']"
Liertoppen,Liertoppen Senter,Drammensveien 201,,59.809434,10.300631,"['RESTROOM', 'RESTAURANT', 'SHOPPING', 'CAFE']"
Lillesand,Lillesand Senter,Senterveien 30,,58.262653,8.396007,"['RESTAURANT', 'SHOPPING', 'CAFE']"
Linderud Senter,Linderud Senter,Erich Mogensøns vei 38,,59.943412,10.836072,"['RESTROOM', 'RESTAURANT', 'SHOPPING', 'CAFE']"
B8W02RXU4Y9DS,Ljosland Skisenter,Hola på kleiva 2,,58.783232,7.332619,"['RESTROOM', 'RESTAURANT', 'CAFE']"
B8D9EX3MVB400,Ljungby,Drottninggatan 34,ICA Maxi Ljungby,56.834097,13.944245,"['RESTROOM', 'SHOPPING', 'CAFE', 'CAR_TRAILER']"
Lom,Lom,Nedre Ulstadveg 2,,61.836243,8.567476,"['RESTROOM', 'RESTAURANT', 'SHOPPING', 'CAFE']"
BAHYIVO3VEFB4,Luleå,Storhedsvägen 14,ICA MAXI Luleå,65.61613,22.04886,"['RESTROOM', 'RESTAURANT', 'SHOPPING', 'CAFE', 'CAR_TRAILER']"
